"data_year","state_id","state_abbr","total_population","total_agencies","participation_agencies","covered_agencies","population_covered","nibrs_participating_agencies","nibrs_population"
1968,20,"KS",2462806,495,183,0,0,0,0
1968,21,"KY",3690293,700,131,0,0,0,0
1968,22,"LA",4208540,330,91,0,0,0,0
1968,23,"MA",5745924,532,211,0,0,0,0
1968,24,"MD",3940648,218,52,0,0,0,0
1968,25,"ME",1105654,273,83,0,0,0,0
1968,26,"MI",9187914,892,267,0,0,0,0
1968,27,"MN",3789357,494,212,0,0,0,0
1968,28,"MO",5281261,777,195,0,0,0,0
1968,29,"MS",2978343,302,87,0,0,0,0
1968,30,"MT",782557,161,81,0,0,0,0
1968,31,"NE",1561819,360,114,0,0,0,0
1968,32,"NC",5620757,864,146,0,0,0,0
1968,33,"ND",719309,158,64,0,0,0,0
1968,34,"NH",746123,266,43,0,0,0,0
1968,35,"NJ",7260760,678,441,0,0,0,0
1968,36,"NM",1195975,177,67,0,0,0,0
1968,37,"NV",464142,83,21,0,0,0,0
1968,38,"NY",19430233,1275,361,0,0,0,0
1968,39,"OH",11379794,984,349,0,0,0,0
1968,40,"OK",2558975,519,117,0,0,0,0
1968,41,"OR",1885432,315,96,0,0,0,0
1968,42,"PA",12277941,1966,495,0,0,0,0
1968,43,"PR",2697000,25,0,0,0,0,0
1968,44,"RI",957178,65,31,0,0,0,0
1968,45,"SC",3026789,583,63,0,0,0,0
1968,46,"SD",766067,209,75,0,0,0,0
1968,47,"TN",4403366,638,86,0,0,0,0
1968,48,"TX",12280827,1353,398,0,0,0,0
1968,49,"UT",1185559,207,57,0,0,0,0
1968,50,"VI",0,3,0,0,0,0,0
1968,51,"VA",4998758,512,133,0,0,0,0
1968,52,"VT",482185,112,29,0,0,0,0
1968,53,"WA",3376117,336,116,0,0,0,0
1968,54,"WI",4355650,500,188,0,0,0,0
1968,55,"WV",1924462,554,53,0,0,0,0
1968,56,"WY",342574,94,40,0,0,0,0
1968,57,"MP",0,1,0,0,0,0,0
1968,98,"FS",0,0,0,0,0,0,0
1968,99,"OT",0,0,0,0,0,0,0
1969,1,"AK",283000,56,8,0,0,0,0
1969,2,"AL",4282222,514,84,0,0,0,0
1969,3,"AR",2307809,374,75,0,0,0,0
1969,4,"AS",0,1,0,0,0,0,0
1969,5,"AZ",1826863,182,47,0,0,0,0
1969,6,"CA",20548835,945,468,0,0,0,0
1969,7,"CO",2333498,343,98,0,0,0,0
1969,8,"CT",3196198,135,75,0,0,0,0
1969,9,"CZ",55600,1,0,0,0,0,0
1969,10,"DC",798000,3,1,0,0,0,0
1969,11,"DE",558778,86,12,0,0,0,0
1969,12,"FL",7044334,1256,171,0,0,0,0
1969,13,"GA",5632838,875,118,0,0,0,0
1969,14,"GM",83000,3,0,0,0,0,0
1969,15,"HI",800387,18,7,0,0,0,0
1969,16,"IA",3109806,318,175,0,0,0,0
1969,17,"ID",792073,160,72,0,0,0,0
1969,18,"IL",11895499,1257,364,0,0,0,0
